n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.01,0.0,0.002,0.2,0.9,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.5071395513961058,0.88
[3],0.01,0.0,0.002,0.2,0.9,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.4459565495399092,0.84
[3],0.01,0.0,0.002,0.2,0.9,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.4881313110489561,0.76
[3],0.01,0.0,0.002,0.2,0.9,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.49995212105499576,0.88
[3],0.01,0.0,0.002,0.2,0.9,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5699409736532367,0.72
[3],0.01,0.0,0.002,0.2,0.9,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.5727826462370723,0.8
[3],0.01,0.0,0.002,0.2,0.9,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.33347103208925827,0.84
[3],0.01,0.0,0.002,0.2,0.9,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.48704451136087284,0.68
[3],0.01,0.0,0.002,0.2,0.9,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.37616359032256164,0.92
[3],0.01,0.005,0.0,0.0,0.8,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6619989853435957,0.68
[3],0.01,0.005,0.0,0.0,0.8,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.665279559240412,0.6
[3],0.01,0.005,0.0,0.0,0.8,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.633593283341758,0.72
[3],0.01,0.005,0.0,0.0,0.8,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6069603574866018,0.64
[3],0.01,0.005,0.0,0.0,0.8,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.5038608416733724,0.8
[3],0.01,0.005,0.0,0.0,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.43578676454761783,0.76
[3],0.01,0.005,0.0,0.0,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4149893812901138,0.84
